name,division,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betway,Bwin,Unibet,You Win,32Red Bet,Betfair,Betdaq,Sporting Index
Oklahoma City Thunder,northwest,,,,,,,1.4,,,,1.4,1.4,,1.4,,,,,1.44,,1.05,,
Portland Trail Blazers,northwest,,,,,,,2.75,,,,2.9,2.75,,2.75,,,,,2.75,,1.95,,
Denver Nuggets,northwest,,,,,,,41.0,,,,41.0,34.0,,34.0,,,,,41.0,,4.8,,
Minnesota Timberwolves,northwest,,,,,,,29.0,,,,41.0,34.0,,31.0,,,,,41.0,,4.8,,
Utah Jazz,northwest,,,,,,,1001.0,,,,1001.0,501.0,,101.0,,,,,2001.0,,9.55,,
Los Angeles Clippers,pacific,,,,,,,1.5,,,,1.56,1.5,,1.53,,,,,1.56,,1.53,,
Golden State Warriors,pacific,,,,,,,2.45,,,,2.38,2.45,,2.45,,,,,2.4,,1.53,,
Phoenix Suns,pacific,,,,,,,17.0,,,,26.0,17.0,,18.0,,,,,23.0,,2.9,,
Los Angeles Lakers,pacific,,,,,,,81.0,,,,126.0,101.0,,81.0,,,,,101.0,,6.7,,
Sacramento Kings,pacific,,,,,,,301.0,,,,501.0,201.0,,101.0,,,,,501.0,,9.55,,
San Antonio Spurs,southwest,,,,,,,1.2,,,,1.2,1.2,,1.24,,,,,1.22,,1.01,,
Houston Rockets,southwest,,,,,,,4.33,,,,4.5,4.5,,4.0,,,,,4.25,,1.99,,
Dallas Mavericks,southwest,,,,,,,34.0,,,,26.0,34.0,,31.0,,,,,26.0,,4.04,,
Memphis Grizzlies,southwest,,,,,,,67.0,,,,101.0,51.0,,51.0,,,,,101.0,,4.23,,
New Orleans Pelicans,southwest,,,,,,,121.0,,,,201.0,101.0,,101.0,,,,,201.0,,9.55,,
Toronto Raptors,atlantic,,,,,,,2.25,,,,2.38,2.38,,2.35,,,,,2.25,,1.1,,
Brooklyn Nets,atlantic,,,,,,,2.75,,,,2.62,2.62,,2.55,,,,,2.5,,1.97,,
New York Knicks,atlantic,,,,,,,4.5,,,,4.33,4.5,,4.5,,,,,5.5,,1.97,,
Boston Celtics,atlantic,,,,,,,12.0,,,,15.0,11.0,,12.0,,,,,11.0,,2.95,,
Philadelphia 76ers,atlantic,,,,,,,41.0,,,,81.0,51.0,,51.0,,,,,51.0,,2.95,,
Indiana Pacers,central,,,,,,,1.0,,,,1.0,1.01,,1.01,,,,,1.01,,,,
Chicago Bulls,central,,,,,,,19.0,,,,19.0,17.0,,17.0,,,,,21.0,,1.97,,
Detroit Pistons,central,,,,,,,22.0,,,,26.0,23.0,,23.0,,,,,26.0,,7.84,,
Cleveland Cavaliers,central,,,,,,,126.0,,,,151.0,126.0,,101.0,,,,,151.0,,7.84,,
Milwaukee Bucks,central,,,,,,,501.0,,,,1001.0,501.0,,101.0,,,,,1001.0,,10.0,,
Miami Heat,southeast,,,,,,,1.0,,,,1.01,1.01,,1.01,,,,,1.01,,,,
Atlanta Hawks,southeast,,,,,,,17.0,,,,17.0,17.0,,16.0,,,,,17.0,,6.7,,
Washington Wizards,southeast,,,,,,,51.0,,,,29.0,21.0,,21.0,,,,,29.0,,6.7,,
Charlotte Bobcats,southeast,,,,,,,101.0,,,,101.0,81.0,,81.0,,,,,101.0,,9.55,,
Orlando Magic,southeast,,,,,,,251.0,,,,301.0,151.0,,101.0,,,,,301.0,,9.55,,
