name,division,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betway,Bwin,Unibet,You Win,32Red Bet,Betfair,Betdaq,Sporting Index
Oklahoma City Thunder,northwest,,,,,,,1.25,,,,1.25,1.25,,,,,,,,,1.19,,
Portland Trail Blazers,northwest,,,,,,,4.5,,,,4.75,4.5,,,,,,,,,1.95,,
Denver Nuggets,northwest,,,,,,,17.0,,,,17.0,15.0,,,,,,,,,4.8,,
Minnesota Timberwolves,northwest,,,,,,,29.0,,,,26.0,26.0,,,,,,,,,4.8,,
Utah Jazz,northwest,,,,,,,501.0,,,,501.0,501.0,,,,,,,,,9.55,,
Los Angeles Clippers,pacific,,,,,,,1.36,,,,1.4,1.38,,,,,,,,,1.28,,
Golden State Warriors,pacific,,,,,,,3.2,,,,3.2,3.1,,,,,,,,,1.95,,
Los Angeles Lakers,pacific,,,,,,,26.0,,,,26.0,26.0,,,,,,,,,6.7,,
Phoenix Suns,pacific,,,,,,,51.0,,,,26.0,34.0,,,,,,,,,3.85,,
Sacramento Kings,pacific,,,,,,,401.0,,,,301.0,151.0,,,,,,,,,9.55,,
San Antonio Spurs,southwest,,,,,,,1.33,,,,1.33,1.4,,,,,,,,,1.01,,
Houston Rockets,southwest,,,,,,,3.5,,,,3.5,3.25,,,,,,,,,1.99,,
Dallas Mavericks,southwest,,,,,,,26.0,,,,26.0,23.0,,,,,,,,,3.94,,
Memphis Grizzlies,southwest,,,,,,,51.0,,,,51.0,26.0,,,,,,,,,4.23,,
New Orleans Pelicans,southwest,,,,,,,67.0,,,,67.0,67.0,,,,,,,,,9.55,,
Brooklyn Nets,atlantic,,,,,,,2.1,,,,2.1,2.0,,,,,,,,,1.69,,
New York Knicks,atlantic,,,,,,,3.75,,,,3.5,3.5,,,,,,,,,1.97,,
Toronto Raptors,atlantic,,,,,,,5.5,,,,5.5,5.5,,,,,,,,,2.42,,
Boston Celtics,atlantic,,,,,,,7.0,,,,8.0,9.5,,,,,,,,,2.95,,
Philadelphia 76ers,atlantic,,,,,,,26.0,,,,26.0,21.0,,,,,,,,,2.95,,
Indiana Pacers,central,,,,,,,1.01,,,,1.01,1.01,,,,,,,,,,,
Chicago Bulls,central,,,,,,,15.0,,,,15.0,13.0,,,,,,,,,1.97,,
Detroit Pistons,central,,,,,,,29.0,,,,26.0,29.0,,,,,,,,,7.84,,
Cleveland Cavaliers,central,,,,,,,151.0,,,,151.0,126.0,,,,,,,,,7.84,,
Milwaukee Bucks,central,,,,,,,501.0,,,,301.0,301.0,,,,,,,,,10.0,,
Miami Heat,southeast,,,,,,,1.01,,,,1.01,1.01,,,,,,,,,,,
Atlanta Hawks,southeast,,,,,,,19.0,,,,19.0,17.0,,,,,,,,,6.7,,
Washington Wizards,southeast,,,,,,,23.0,,,,21.0,21.0,,,,,,,,,6.7,,
Charlotte Bobcats,southeast,,,,,,,101.0,,,,126.0,151.0,,,,,,,,,9.55,,
Orlando Magic,southeast,,,,,,,201.0,,,,201.0,151.0,,,,,,,,,9.55,,
