name,division,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betway,Bwin,Unibet,You Win,32Red Bet,Betfair,Betdaq,Sporting Index
Oklahoma City Thunder,northwest,,,,,,,1.4,,,,1.44,1.4,,1.42,,,,,,,1.1,,
Portland Trail Blazers,northwest,,,,,,,2.75,,,,2.75,2.75,,2.8,,,,,,,,,
Minnesota Timberwolves,northwest,,,,,,,29.0,,,,34.0,29.0,,27.0,,,,,,,4.8,,
Denver Nuggets,northwest,,,,,,,51.0,,,,67.0,34.0,,38.0,,,,,,,4.8,,
Utah Jazz,northwest,,,,,,,1001.0,,,,1001.0,501.0,,101.0,,,,,,,9.55,,
Los Angeles Clippers,pacific,,,,,,,1.4,,,,1.5,1.4,,1.45,,,,,,,1.19,,
Golden State Warriors,pacific,,,,,,,2.88,,,,2.7,2.75,,2.75,,,,,,,,,
Phoenix Suns,pacific,,,,,,,19.0,,,,17.0,19.0,,18.0,,,,,,,2.9,,
Los Angeles Lakers,pacific,,,,,,,67.0,,,,67.0,51.0,,67.0,,,,,,,6.7,,
Sacramento Kings,pacific,,,,,,,301.0,,,,501.0,201.0,,101.0,,,,,,,9.55,,
San Antonio Spurs,southwest,,,,,,,1.29,,,,1.29,1.29,,1.3,,,,,,,1.01,,
Houston Rockets,southwest,,,,,,,3.5,,,,3.7,3.5,,3.7,,,,,,,1.99,,
Dallas Mavericks,southwest,,,,,,,26.0,,,,26.0,26.0,,25.0,,,,,,,3.94,,
Memphis Grizzlies,southwest,,,,,,,51.0,,,,101.0,34.0,,51.0,,,,,,,4.23,,
New Orleans Pelicans,southwest,,,,,,,101.0,,,,101.0,67.0,,67.0,,,,,,,9.55,,
Toronto Raptors,atlantic,,,,,,,2.5,,,,2.5,2.5,,2.4,,,,,,,,,
Brooklyn Nets,atlantic,,,,,,,2.38,,,,2.5,2.5,,2.6,,,,,,,1.97,,
New York Knicks,atlantic,,,,,,,6.0,,,,7.0,7.5,,6.5,,,,,,,1.97,,
Boston Celtics,atlantic,,,,,,,7.0,,,,7.5,6.5,,7.0,,,,,,,2.95,,
Philadelphia 76ers,atlantic,,,,,,,34.0,,,,34.0,34.0,,34.0,,,,,,,2.95,,
Indiana Pacers,central,,,,,,,1.01,,,,1.01,1.01,,1.01,,,,,,,,,
Chicago Bulls,central,,,,,,,21.0,,,,21.0,17.0,,18.0,,,,,,,1.97,,
Detroit Pistons,central,,,,,,,21.0,,,,21.0,23.0,,21.0,,,,,,,7.84,,
Cleveland Cavaliers,central,,,,,,,126.0,,,,201.0,126.0,,101.0,,,,,,,7.84,,
Milwaukee Bucks,central,,,,,,,201.0,,,,501.0,501.0,,101.0,,,,,,,10.0,,
Miami Heat,southeast,,,,,,,1.01,,,,1.01,1.01,,1.01,,,,,,,,,
Atlanta Hawks,southeast,,,,,,,17.0,,,,17.0,17.0,,16.0,,,,,,,6.7,,
Washington Wizards,southeast,,,,,,,26.0,,,,26.0,21.0,,21.0,,,,,,,6.7,,
Charlotte Bobcats,southeast,,,,,,,126.0,,,,101.0,81.0,,101.0,,,,,,,9.55,,
Orlando Magic,southeast,,,,,,,251.0,,,,301.0,151.0,,101.0,,,,,,,9.55,,
