name,division,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betway,Bwin,Unibet,You Win,32Red Bet,Betfair,Betdaq,Sporting Index
Oklahoma City Thunder,northwest,1.25,,,,,,1.18,,,,1.2,1.2,1.22,1.22,,1.2,,,1.22,,1.19,,
Portland Trail Blazers,northwest,5.0,,,,,,8.0,,,,6.5,7.5,7.0,6.0,,7.0,,,6.0,,1.95,,
Denver Nuggets,northwest,15.0,,,,,,15.0,,,,15.0,13.0,15.0,15.0,,13.0,,,15.0,,4.8,,
Minnesota Timberwolves,northwest,21.0,,,,,,11.0,,,,21.0,12.0,19.0,17.0,,11.0,,,19.0,,4.8,,
Utah Jazz,northwest,2001.0,,,,,,126.0,,,,301.0,151.0,501.0,101.0,,126.0,,,2001.0,,9.55,,
Los Angeles Clippers,pacific,1.4,,,,,,1.36,,,,1.4,1.4,1.4,1.4,,1.4,,,1.4,,1.28,,
Golden State Warriors,pacific,3.2,,,,,,3.2,,,,3.1,3.0,3.25,3.1,,3.1,,,3.0,,1.95,,
Los Angeles Lakers,pacific,26.0,,,,,,21.0,,,,21.0,17.0,19.0,21.0,,21.0,,,26.0,,6.7,,
Phoenix Suns,pacific,61.0,,,,,,51.0,,,,51.0,51.0,41.0,51.0,,51.0,,,67.0,,3.85,,
Sacramento Kings,pacific,401.0,,,,,,201.0,,,,201.0,151.0,201.0,101.0,,201.0,,,401.0,,9.55,,
San Antonio Spurs,southwest,1.4,,,,,,1.4,,,,1.42,1.4,1.4,1.35,,1.4,,,1.42,,1.01,,
Houston Rockets,southwest,3.2,,,,,,3.25,,,,3.25,3.25,3.5,3.4,,3.25,,,3.25,,1.99,,
Dallas Mavericks,southwest,26.0,,,,,,26.0,,,,26.0,23.0,21.0,27.0,,26.0,,,23.0,,7.65,,
Memphis Grizzlies,southwest,34.0,,,,,,23.0,,,,34.0,17.0,26.0,27.0,,23.0,,,34.0,,4.14,,
New Orleans Pelicans,southwest,51.0,,,,,,67.0,,,,51.0,67.0,67.0,67.0,,67.0,,,51.0,,9.55,,
Brooklyn Nets,atlantic,1.76,,,,,,1.67,,,,1.62,1.67,1.73,1.75,,1.7,,,1.83,,1.68,,
New York Knicks,atlantic,4.0,,,,,,3.4,,,,3.6,3.4,3.5,3.5,,3.5,,,3.5,,1.97,,
Toronto Raptors,atlantic,5.0,,,,,,7.0,,,,7.0,7.0,7.0,5.0,,6.0,,,5.5,,2.99,,
Philadelphia 76ers,atlantic,19.0,,,,,,21.0,,,,26.0,21.0,26.0,26.0,,21.0,,,21.0,,2.95,,
Boston Celtics,atlantic,17.0,,,,,,41.0,,,,34.0,41.0,21.0,41.0,,34.0,,,21.0,,4.89,,
Indiana Pacers,central,1.03,,,,,,,,,,1.02,,1.02,1.02,,,,,1.03,,,,
Chicago Bulls,central,13.0,,,,,,,,,,12.0,,13.0,13.0,,,,,13.0,,1.97,,
Detroit Pistons,central,26.0,,,,,,,,,,34.0,,26.0,26.0,,,,,26.0,,7.84,,
Cleveland Cavaliers,central,101.0,,,,,,,,,,101.0,,101.0,101.0,,,,,101.0,,7.84,,
Milwaukee Bucks,central,401.0,,,,,,,,,,251.0,,251.0,101.0,,,,,401.0,,10.0,,
Miami Heat,southeast,1.01,,,,,,1.01,,,,1.01,1.01,1.01,1.01,,1.01,,,1.02,,,,
Atlanta Hawks,southeast,26.0,,,,,,19.0,,,,21.0,17.0,21.0,19.0,,19.0,,,26.0,,6.7,,
Washington Wizards,southeast,26.0,,,,,,19.0,,,,26.0,21.0,29.0,21.0,,23.0,,,26.0,,6.7,,
Charlotte Bobcats,southeast,201.0,,,,,,126.0,,,,101.0,151.0,101.0,101.0,,126.0,,,201.0,,9.55,,
Orlando Magic,southeast,201.0,,,,,,126.0,,,,126.0,151.0,101.0,101.0,,151.0,,,201.0,,9.55,,
