name,division,Bet Victor,Totesport,Sporting Bet,Winner,888sport,32Red Bet,Stan James,You Win,Betfred,Betway,Spreadex,Bwin,Betfair,Coral,Unibet,Betdaq,Sporting Index,Sky Bet,Bet 365,William Hill,Paddy Power,Ladbrokes,Boylesports
New England Patriots,AFC East,1.01,1.01,1.01,,,,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,,1.01,1.01,1.01,1.01,,,,
Miami Dolphins,AFC East,29.0,34.0,34.0,,,,26.0,34.0,34.0,25.0,26.0,26.0,26.0,21.0,,26.0,26.0,25.0,26.0,,,,
New York Jets,AFC East,29.0,34.0,34.0,,,,34.0,34.0,34.0,30.0,34.0,29.0,34.0,25.0,,34.0,26.0,30.0,26.0,,,,
Buffalo Bills,AFC East,201.0,151.0,151.0,,,,126.0,201.0,151.0,120.0,151.0,151.0,151.0,101.0,,151.0,201.0,120.0,151.0,,,,
Cincinnati Bengals,AFC North,1.2,1.17,1.17,,1.17,,1.15,1.14,1.14,1.15,1.2,1.17,1.22,1.2,,1.16,1.15,1.15,1.17,,,,
Baltimore Ravens,AFC North,8.0,9.0,8.5,,8.5,,9.0,8.5,8.0,9.0,9.0,9.0,8.0,8.0,,9.0,8.0,9.0,9.0,,,,
Pittsburgh Steelers,AFC North,8.0,9.0,8.5,,8.5,,9.0,8.5,9.5,8.5,8.0,8.5,7.0,9.0,,8.5,8.0,8.5,9.0,,,,
Cleveland Browns,AFC North,51.0,51.0,51.0,,51.0,,51.0,34.0,51.0,40.0,41.0,51.0,51.0,41.0,,41.0,51.0,40.0,51.0,,,,
Indianapolis Colts,AFC South,1.07,1.06,1.06,,,,1.07,1.04,1.07,1.05,1.07,1.06,1.08,1.07,,1.06,1.07,1.05,1.07,,,,
Tennessee Titans,AFC South,7.5,9.0,9.0,,,,8.0,9.0,8.0,8.0,8.0,9.0,8.0,7.0,,8.5,7.0,8.0,9.0,,,,
Houston Texans,AFC South,5001.0,,,,,,,,,,,,,,,,,,,,,,
Jacksonville Jaguars,AFC South,5001.0,,,,,,,,,,,,,,,,,,,,,,
Denver Broncos,AFC West,1.3,1.3,1.29,,,,1.29,1.3,1.29,1.28,1.29,1.29,1.3,1.3,,1.28,1.25,1.28,1.29,,,,
Kansas City Chiefs,AFC West,3.5,3.5,3.75,,,,3.6,3.2,3.5,3.5,3.75,3.75,3.5,3.5,,3.6,3.5,3.5,3.6,,,,
San Diego Chargers,AFC West,126.0,151.0,126.0,,,,,,126.0,100.0,,,67.0,67.0,,,101.0,100.0,101.0,,,,
Dallas Cowboys,NFC East,1.9,1.91,1.8,,,,1.87,1.73,1.73,2.0,1.8,1.8,1.91,,,1.8,1.83,2.0,1.83,,,,
Philadelphia Eagles,NFC East,2.0,2.0,2.05,,,,2.05,2.1,2.0,1.8,2.1,2.1,2.0,,,2.1,2.0,1.8,2.1,,,,
New York Giants,NFC East,19.0,21.0,21.0,,,,19.0,21.0,26.0,20.0,21.0,21.0,17.0,,,21.0,17.0,20.0,21.0,,,,
Washington Redskins,NFC East,51.0,51.0,51.0,,,,41.0,51.0,67.0,40.0,41.0,51.0,51.0,,,51.0,51.0,40.0,51.0,,,,
Detroit Lions,NFC North,2.0,2.0,2.0,,,,1.91,1.91,1.91,2.0,2.0,2.05,2.1,2.0,,2.0,1.95,2.0,2.0,,,,
Chicago Bears,NFC North,3.2,3.25,3.2,,,,3.0,3.25,3.0,3.0,3.0,3.1,3.0,3.1,,3.1,3.0,3.0,3.2,,,,
Green Bay Packers,NFC North,3.6,3.4,3.5,,,,4.0,3.25,3.75,3.5,3.75,3.5,3.5,3.5,,3.5,3.6,3.5,3.6,,,,
Minnesota Vikings,NFC North,501.0,,,,,,,,,,,,,,,,501.0,,,,,,
New Orleans Saints,NFC South,1.44,1.5,1.44,,,,1.5,1.44,1.53,1.45,1.5,1.44,1.5,1.45,,1.45,1.45,1.45,1.4,,,,
Carolina Panthers,NFC South,2.62,2.62,2.62,,,,2.62,2.62,2.5,2.75,2.62,2.75,2.62,2.55,,2.7,2.6,2.75,2.75,,,,
Seattle Seahawks,NFC West,1.01,1.01,1.01,,,,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,,1.01,,1.01,1.01,,,,
San Francisco 49ers,NFC West,26.0,26.0,21.0,,,,19.0,21.0,26.0,18.0,21.0,21.0,21.0,17.0,,21.0,,18.0,23.0,,,,
Arizona Cardinals,NFC West,26.0,26.0,26.0,,,,23.0,67.0,29.0,25.0,26.0,26.0,26.0,25.0,,34.0,,25.0,26.0,,,,
St Louis Rams,NFC West,2001.0,,,,,,,,,,,,,,,,,,,,,,
