name,country,max,min,mean,median,twentyfive,seventyfive
bayern munich,Germany,1.12,1.0,1.0920000000000001,1.1200000000000001,1.1000000000000001,1.1200000000000001
vfl wolfsburg,Germany,26.0,15.0,19.0,18.0,18.0,18.0
schalke 04,Germany,151.0,34.0,61.600000000000001,41.0,41.0,41.0
bor monchengladbach,Germany,201.0,26.0,65.799999999999997,34.0,34.0,34.0
bayer leverkusen,Germany,251.0,21.0,74.799999999999997,34.0,34.0,34.0
bor dortmund,Germany,501.0,14.0,111.59999999999999,14.0,14.0,15.0
mainz 05,Germany,501.0,401.0,481.0,501.0,501.0,501.0
hoffenheim,Germany,751.0,151.0,331.0,251.0,251.0,251.0
hannover 96,Germany,801.0,251.0,631.0,801.0,501.0,801.0
eintracht frankfurt,Germany,1001.0,251.0,551.0,501.0,501.0,501.0
fc koln,Germany,1001.0,751.0,831.0,801.0,801.0,801.0
vfb stuttgart,Germany,1001.0,251.0,431.0,301.0,301.0,301.0
hertha berlin,Germany,1501.0,751.0,931.0,801.0,801.0,801.0
augsburg,Germany,2001.0,251.0,631.0,301.0,301.0,301.0
freiburg,Germany,2001.0,2001.0,2001.0,2001.0,2001.0,2001.0
werder bremen,Germany,2001.0,251.0,751.0,501.0,501.0,501.0
hamburg,Germany,2501.0,251.0,1376.0,1376.0,813.5,1938.5
paderborn,Germany,2501.0,2501.0,2501.0,2501.0,2501.0,2501.0
barcelona,Spain,1.8,1.73,1.7737499999999999,1.8,1.73,1.8
real madrid,Spain,2.63,2.5,2.5324999999999998,2.5,2.5,2.5324999999999998
atletico madrid,Spain,17.0,13.0,15.375,16.0,14.5,16.25
valencia,Spain,41.0,29.0,36.25,37.5,32.75,41.0
seville,Spain,51.0,41.0,47.25,51.0,41.0,51.0
villarreal,Spain,301.0,101.0,222.875,251.0,194.75,263.5
athletic bilbao,Spain,401.0,101.0,269.75,251.0,238.5,326.0
celta vigo,Spain,501.0,501.0,501.0,501.0,501.0,501.0
malaga,Spain,501.0,501.0,501.0,501.0,501.0,501.0
espanyol,Spain,1001.0,501.0,876.0,1001.0,751.0,1001.0
real sociedad,Spain,1001.0,501.0,715.28571428571433,501.0,501.0,1001.0
deportivo la coruna,Spain,1501.0,501.0,1126.0,1251.0,876.0,1501.0
elche,Spain,2501.0,501.0,2072.4285714285716,2501.0,2001.0,2501.0
rayo vallecano,Spain,2501.0,501.0,1858.1428571428571,2001.0,1501.0,2501.0
