name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,10Bet,Marathon Bet,Betfair,Betdaq,Matchbook
bayern munich,Germany,1.02,1.02,1.01,,1.01,1.01,1.02,1.03,,,1.02,,1.02,1.02,1.01,,,1.02,,1.02,,1.03,,1.04,,
bor dortmund,Germany,21.0,17.0,15.0,,15.0,13.0,13.0,13.0,,,15.0,,13.0,13.0,15.0,,,13.0,,15.0,,15.0,,12.9,,
bayer leverkusen,Germany,401.0,201.0,401.0,,401.0,151.0,101.0,251.0,,,201.0,,251.0,81.0,151.0,,,81.0,,251.0,,26.0,,105.0,,
wolfsburg,Germany,501.0,251.0,301.0,,301.0,501.0,101.0,251.0,,,251.0,,501.0,67.0,251.0,,,67.0,,151.0,,34.0,,25.0,,
bor monchengladbach,Germany,751.0,,401.0,,401.0,501.0,81.0,251.0,,,201.0,,251.0,81.0,251.0,,,81.0,,251.0,,86.0,,52.0,,
schalke 04,Germany,1001.0,,751.0,,751.0,751.0,101.0,501.0,,,401.0,,501.0,101.0,501.0,,,101.0,,501.0,,56.0,,219.0,,
hertha berlin,Germany,1501.0,,501.0,,501.0,1501.0,751.0,251.0,,,251.0,,501.0,751.0,751.0,,,751.0,,1001.0,,751.0,,52.0,,
hamburg,Germany,3001.0,,2501.0,,2501.0,,1001.0,501.0,,,1001.0,,,1001.0,,,,1001.0,,3001.0,,1001.0,,52.0,,
mainz 05,Germany,2501.0,,2501.0,,2501.0,,751.0,501.0,,,1001.0,,,1001.0,,,,1001.0,,3001.0,,751.0,,52.0,,
fc koln,Germany,3501.0,,2501.0,,2501.0,,501.0,501.0,,,751.0,,,1001.0,,,,1001.0,,3001.0,,1001.0,,52.0,,
eintracht frankfurt,Germany,4501.0,,,,,,751.0,501.0,,,2001.0,,,1001.0,,,,1001.0,,5001.0,,1001.0,,22.0,,
augsburg,Germany,4001.0,,,,,,1001.0,501.0,,,1001.0,,,1001.0,,,,1001.0,,5001.0,,1001.0,,52.0,,
hannover,Germany,4501.0,,,,,,751.0,501.0,,,3501.0,,,1001.0,,,,1001.0,,5001.0,,1001.0,,52.0,,
hoffenheim,Germany,4501.0,,,,,,1001.0,501.0,,,3501.0,,,1001.0,,,,1001.0,,5001.0,,1001.0,,52.0,,
vfb stuttgart,Germany,4501.0,,,,,,1001.0,501.0,,,2001.0,,,1001.0,,,,1001.0,,5001.0,,1001.0,,52.0,,
