name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betfair Sportsbook,Betway,Bet Bright,Titan Bet,Unibet,Bwin,32Red Bet,Betfair,Betdaq,Matchbook
bayern munich,Germany,,1.0,,,,,1.0,1.0,1.0,,,,1.01,1.01,1.0,1.0,1.01,,1.01,,1.02,,1.03,1.01,
vfl wolfsburg,Germany,,21.0,,,,,21.0,26.0,23.0,,,,26.0,23.0,23.0,26.0,26.0,,23.0,,29.0,,26.0,9.15,
bor monchengladbach,Germany,,201.0,,,,,201.0,201.0,151.0,,,,251.0,201.0,251.0,201.0,201.0,,201.0,,,,352.0,306.0,
bayer leverkusen,Germany,,201.0,,,,,251.0,151.0,151.0,,,,251.0,251.0,301.0,251.0,251.0,,251.0,,,,,427.0,
hannover 96,Germany,,,,,,,501.0,501.0,,,,,,,,,,,,,,,42.0,844.0,
mainz 05,Germany,,,,,,,401.0,501.0,,,,,,,,,,,,,,,,844.0,
bor dortmund,Germany,,,,,,,501.0,501.0,,,,,,251.0,,201.0,,,251.0,,,,,597.0,
schalke 04,Germany,,151.0,,,,,151.0,201.0,151.0,,,,251.0,151.0,501.0,151.0,201.0,,151.0,,,,,276.0,
hoffenheim,Germany,,,,,,,751.0,501.0,,,,,,,,,,,,,,,42.0,412.0,
fc koln,Germany,,,,,,,1001.0,501.0,,,,,,,,,,,,,,,42.0,844.0,
vfb stuttgart,Germany,,,,,,,1001.0,501.0,,,,,,,,,,,,,,,42.0,844.0,
eintracht frankfurt,Germany,,,,,,,1001.0,501.0,,,,,,,,,,,,,,,57.0,844.0,
hertha berlin,Germany,,,,,,,1501.0,501.0,,,,,,,,,,,,,,,42.0,844.0,
freiburg,Germany,,,,,,,2001.0,501.0,,,,,,,,,,,,,,,42.0,844.0,
werder bremen,Germany,,,,,,,2001.0,501.0,,,,,,,,,,,,,,,42.0,844.0,
augsburg,Germany,,,,,,,2001.0,501.0,,,,,,,,,,,,,,,,124.0,
