name,country,Bet 365,Sky Bet,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,10Bet,Betfair,Betdaq,Matchbook
bayern munich,Germany,1.1,1.11,1.08,1.08,1.1,1.05,,1.06,1.1,1.1,1.1,1.08,1.1,1.1,1.1,1.09,1.1,1.1,1.12,1.1,1.1,1.13,1.12,
vfl wolfsburg,Germany,17.0,,,21.0,,,,,18.0,17.0,,17.0,17.0,15.0,17.0,,17.0,18.0,17.0,18.0,,,,
wolfsburg,Germany,,17.0,17.0,,13.0,21.0,,17.0,,,21.0,,,,,16.5,,,,,15.0,17.1,16.0,
bor dortmund,Germany,21.0,15.0,17.0,21.0,15.0,21.0,,15.0,14.0,15.0,21.0,17.0,15.0,21.0,17.0,17.0,15.0,14.0,19.0,14.0,21.0,19.0,18.0,
bayer leverkusen,Germany,41.0,34.0,34.0,41.0,34.0,41.0,,41.0,34.0,34.0,26.0,41.0,34.0,34.0,34.0,37.0,34.0,34.0,34.0,34.0,46.0,48.0,45.0,
bor monchengladbach,Germany,41.0,34.0,34.0,41.0,34.0,51.0,,41.0,34.0,41.0,41.0,41.0,29.0,41.0,41.0,39.0,29.0,34.0,41.0,34.0,46.0,32.0,30.0,
schalke 04,Germany,51.0,41.0,41.0,51.0,41.0,51.0,,51.0,41.0,51.0,101.0,51.0,51.0,41.0,41.0,45.0,51.0,41.0,51.0,41.0,46.0,62.0,54.0,
mainz 05,Germany,501.0,501.0,501.0,501.0,401.0,501.0,,501.0,401.0,501.0,501.0,501.0,251.0,501.0,501.0,451.0,251.0,401.0,501.0,401.0,601.0,95.0,87.0,
augsburg,Germany,751.0,301.0,501.0,251.0,501.0,751.0,,501.0,301.0,251.0,751.0,501.0,201.0,501.0,751.0,501.0,201.0,301.0,501.0,301.0,751.0,95.0,87.0,
eintracht frankfurt,Germany,501.0,501.0,501.0,401.0,501.0,501.0,,501.0,501.0,401.0,751.0,501.0,501.0,501.0,501.0,451.0,501.0,501.0,501.0,501.0,501.0,95.0,87.0,
hoffenheim,Germany,251.0,251.0,251.0,251.0,251.0,501.0,,251.0,251.0,201.0,501.0,501.0,151.0,501.0,751.0,301.0,151.0,251.0,251.0,251.0,276.0,95.0,87.0,
vfb stuttgart,Germany,501.0,501.0,401.0,251.0,301.0,751.0,,501.0,301.0,501.0,501.0,751.0,251.0,501.0,751.0,451.0,251.0,301.0,501.0,301.0,501.0,95.0,87.0,
fc koln,Germany,751.0,501.0,751.0,501.0,501.0,751.0,,501.0,801.0,501.0,1001.0,751.0,501.0,751.0,751.0,651.0,501.0,801.0,751.0,801.0,751.0,95.0,87.0,
hamburg,Germany,501.0,301.0,501.0,301.0,501.0,751.0,,501.0,501.0,501.0,1001.0,751.0,501.0,501.0,501.0,551.0,501.0,501.0,501.0,501.0,,95.0,87.0,
