name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,10Bet,Marathon Bet,Betfair,Betdaq,Matchbook
1.01,Germany,1.01,1.02,1.01,1.01,1.01,1.01,,1.01,1.01,1.01,,1.01,1.01,,1.01,1.01,,,1.01,1.03,1.01,1.01,,,,
26,Germany,26.0,17.0,15.0,19.0,15.0,15.0,,21.0,17.0,21.0,,13.0,17.0,,15.0,15.0,,,21.0,12.0,21.0,31.0,,,,
1001,Germany,1001.0,201.0,401.0,,401.0,151.0,,501.0,201.0,801.0,,1001.0,,,151.0,201.0,,,801.0,501.0,801.0,1001.0,,,,
1501,Germany,1501.0,251.0,401.0,,401.0,251.0,,501.0,251.0,1001.0,,1001.0,,,501.0,251.0,,,1001.0,251.0,1001.0,1001.0,,,,
1501,Germany,1501.0,,751.0,,751.0,,,501.0,,1201.0,,,,,751.0,751.0,,,1201.0,1001.0,1201.0,1201.0,,,,
2001,Germany,2001.0,,501.0,,501.0,401.0,,501.0,501.0,1001.0,,2501.0,,,251.0,201.0,,,1001.0,501.0,1001.0,1001.0,,,,
2501,Germany,2501.0,,1001.0,,1001.0,601.0,,501.0,1001.0,3001.0,,2501.0,,,751.0,501.0,,,3001.0,501.0,3001.0,1501.0,,,,
4501,Germany,4501.0,,2501.0,,2501.0,,,501.0,,5001.0,,,,,,,,,5001.0,5001.0,5001.0,2001.0,,,,
4501,Germany,4501.0,,2501.0,,2501.0,,,501.0,,5001.0,,,,,,,,,5001.0,,5001.0,2001.0,,,,
4501,Germany,4501.0,,2501.0,,2501.0,,,501.0,,5001.0,,,,,,,,,5001.0,5001.0,5001.0,2001.0,,,,
4501,Germany,4501.0,,5001.0,,5001.0,,,501.0,,8001.0,,,,,,,,,8001.0,,8001.0,2001.0,,,,
4501,Germany,4501.0,,,,,,,501.0,,9001.0,,,,,,,,,9001.0,,9001.0,2001.0,,,,
4001,Germany,4001.0,,,,,,,501.0,,9001.0,,,,,,,,,9001.0,,9001.0,2001.0,,,,
4501,Germany,4501.0,,,,,,,501.0,,9001.0,,,,,,,,,9001.0,,9001.0,2001.0,,,,
4501,Germany,4501.0,,,,,,,501.0,,9001.0,,,,,,,,,9001.0,,9001.0,2001.0,,,,
