name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betfair Sportsbook,Betway,Bet Bright,Titan Bet,Unibet,Bwin,32Red Bet,Betfair,Betdaq,Matchbook
bayern munich,Germany,1.02,1.02,,1.02,,1.02,1.02,1.02,1.02,1.01,1.02,,1.02,1.02,,1.03,1.02,,1.02,1.01,1.02,1.01,,1.05,
vfl wolfsburg,Germany,21.0,51.0,,51.0,,67.0,41.0,67.0,34.0,67.0,41.0,,41.0,51.0,,41.0,51.0,,51.0,67.0,51.0,67.0,,34.0,
bayer leverkusen,Germany,41.0,41.0,,41.0,,41.0,51.0,51.0,41.0,85.0,41.0,,41.0,41.0,,41.0,41.0,,41.0,85.0,51.0,85.0,,23.0,
bor monchengladbach,Germany,81.0,81.0,,81.0,,81.0,101.0,81.0,51.0,125.0,67.0,,67.0,81.0,,101.0,81.0,,81.0,125.0,51.0,125.0,,50.0,
bor dortmund,Germany,101.0,81.0,,81.0,,101.0,101.0,101.0,81.0,200.0,67.0,,81.0,81.0,,51.0,101.0,,81.0,200.0,101.0,200.0,,82.0,
schalke 04,Germany,151.0,151.0,,126.0,,101.0,151.0,151.0,81.0,300.0,101.0,,101.0,126.0,,101.0,126.0,,126.0,300.0,151.0,300.0,,179.0,
hoffenheim,Germany,151.0,251.0,,201.0,,251.0,251.0,301.0,151.0,400.0,201.0,,201.0,251.0,,251.0,,,251.0,400.0,151.0,400.0,,188.0,
mainz 05,Germany,251.0,,,,,501.0,401.0,501.0,501.0,500.0,501.0,,501.0,401.0,,501.0,501.0,,401.0,500.0,501.0,500.0,,844.0,
hannover 96,Germany,1001.0,,,,,401.0,501.0,501.0,,500.0,401.0,,501.0,401.0,,,501.0,,401.0,500.0,501.0,500.0,,427.0,
fc koln,Germany,1001.0,,,,,,1001.0,501.0,,1500.0,,,,751.0,,,,,751.0,1500.0,751.0,1500.0,,844.0,
