name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,Betfair,Betdaq,Matchbook
bayern munich,Germany,,1.0,,,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,
vfl wolfsburg,Germany,,51.0,,,29.0,,26.0,31.0,,,,,,,151.0,,,,,,,,57.0,97.0,
schalke 04,Germany,,,,,,,151.0,,,,,,,,,,,,,,,,,,
mainz 05,Germany,,,,,,,401.0,,,,,,,,,,,,,,,,,,
bor dortmund,Germany,,,,,,,501.0,,,,,,,,,,,,,,,,,,
hannover 96,Germany,,,,,,,501.0,,,,,,,,,,,,,,,,,,
hoffenheim,Germany,,,,,,,751.0,,,,,,,,,,,,,,,,,,
eintracht frankfurt,Germany,,,,,,,1001.0,,,,,,,,,,,,,,,,,,
fc koln,Germany,,,,,,,1001.0,,,,,,,,,,,,,,,,,,
vfb stuttgart,Germany,,,,,,,1001.0,,,,,,,,,,,,,,,,,,
hertha berlin,Germany,,,,,,,1501.0,,,,,,,,,,,,,,,,,,
augsburg,Germany,,,,,,,2001.0,,,,,,,,,,,,,,,,,,
freiburg,Germany,,,,,,,2001.0,,,,,,,,,,,,,,,,,,
werder bremen,Germany,,,,,,,2001.0,,,,,,,,,,,,,,,,,,
hamburg,Germany,,,,,,,2501.0,,,,,,,,,,,,,,,,,,
paderborn,Germany,,,,,,,2501.0,,,,,,,,,,,,,,,,,,
bayer leverkusen,Germany,,,,,501.0,,251.0,201.0,,,,,,,5001.0,,,,,,,,133.0,970.0,
bor monchengladbach,Germany,,,,,501.0,,201.0,201.0,,,,,,,5001.0,,,,,,,,162.0,543.0,
barcelona,Spain,,,,,,,1.33,1.3,1.25,1.25,,,,1.25,1.22,1.28,1.29,,1.25,1.25,,1.25,1.29,1.17,
real madrid,Spain,,,,,,,3.25,3.5,4.0,4.0,,,,4.0,4.0,3.75,3.75,,4.0,4.0,,4.0,3.94,3.91,
