name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,10Bet,Marathon Bet,Betfair,Betdaq,Matchbook
ud las palmas,Spain,10001.0,5001.0,2501.0,2501.0,2501.0,5001.0,5001.0,501.0,2501.0,5001.0,10001.0,2001.0,5001.0,5001.0,1001.0,5001.0,,5001.0,5001.0,2501.0,5001.0,511.0,,665.0,970.0,
man city,England,2.2,2.25,2.25,2.3,2.25,2.2,2.25,2.25,2.25,2.25,2.1,2.1,2.25,2.2,2.25,2.25,2.2,2.2,2.25,2.25,2.25,2.2,,2.16,2.18,2.21
chelsea,England,4.33,4.33,4.33,4.2,4.33,4.6,4.33,4.33,4.0,4.5,4.5,5.0,4.5,4.33,4.5,4.33,4.34,4.33,4.5,4.33,4.5,4.3,,4.8,4.88,4.96
arsenal,England,5.5,5.0,5.0,5.0,5.0,5.0,5.0,5.5,5.0,5.0,5.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.56,5.66,5.75
man utd,England,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.0,6.5,6.0,6.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,,7.46,7.6,7.73
liverpool,England,21.0,21.0,21.0,19.0,21.0,19.0,15.0,17.0,21.0,21.0,21.0,13.0,15.0,17.0,15.0,21.0,18.5,17.0,21.0,21.0,21.0,19.0,,21.0,21.0,22.0
tottenham,England,201.0,201.0,201.0,251.0,201.0,151.0,201.0,151.0,151.0,251.0,301.0,251.0,201.0,251.0,251.0,201.0,201.0,251.0,251.0,201.0,251.0,221.0,,285.0,296.0,199.0
everton,England,501.0,501.0,201.0,401.0,201.0,251.0,401.0,301.0,501.0,501.0,501.0,401.0,501.0,501.0,251.0,401.0,401.0,501.0,501.0,501.0,501.0,551.0,,675.0,708.0,80.0
southampton,England,751.0,1001.0,401.0,501.0,401.0,301.0,401.0,501.0,251.0,751.0,751.0,401.0,351.0,751.0,401.0,401.0,551.0,751.0,751.0,751.0,751.0,801.0,,855.0,888.0,496.0
swansea,England,1501.0,1501.0,1001.0,1501.0,1001.0,1501.0,751.0,1001.0,1001.0,1001.0,1501.0,1501.0,1001.0,1501.0,751.0,1001.0,1001.0,1501.0,1001.0,1501.0,1001.0,1401.0,,950.0,970.0,496.0
aston villa,England,2001.0,5001.0,1501.0,3001.0,1501.0,2001.0,4001.0,2001.0,1501.0,5001.0,5001.0,2001.0,5001.0,4001.0,2501.0,2501.0,1001.0,4001.0,5001.0,2001.0,5001.0,2201.0,,950.0,970.0,496.0
crystal palace,England,1501.0,5001.0,2001.0,1501.0,2001.0,2001.0,1501.0,1251.0,1001.0,1501.0,3001.0,1501.0,3001.0,1501.0,1001.0,2001.0,1001.0,1501.0,1501.0,1501.0,1501.0,1501.0,,950.0,970.0,496.0
leicester,England,1501.0,5001.0,2001.0,1501.0,2001.0,2001.0,2001.0,2001.0,1501.0,1501.0,2501.0,2001.0,1501.0,2001.0,1501.0,2001.0,1001.0,2001.0,1501.0,1501.0,1501.0,1501.0,,950.0,970.0,496.0
newcastle,England,2501.0,5001.0,1001.0,2501.0,1001.0,1501.0,3001.0,1501.0,1001.0,2501.0,5001.0,1501.0,3001.0,3001.0,2501.0,1001.0,1001.0,3001.0,2501.0,2501.0,2501.0,2501.0,,950.0,970.0,496.0
stoke,England,1251.0,5001.0,1001.0,1501.0,1001.0,1001.0,2501.0,1501.0,1001.0,1501.0,2501.0,1501.0,3001.0,2001.0,1001.0,1501.0,1001.0,2001.0,1501.0,1251.0,1501.0,1201.0,,950.0,970.0,496.0
west ham,England,1001.0,5001.0,1001.0,1501.0,1001.0,1001.0,751.0,1251.0,751.0,1501.0,3001.0,1501.0,1001.0,2001.0,1001.0,1501.0,1001.0,2001.0,1501.0,1001.0,1501.0,1001.0,,950.0,970.0,496.0
west brom,England,2001.0,5001.0,2001.0,3001.0,2001.0,2001.0,2501.0,2001.0,1501.0,5001.0,7501.0,2001.0,5001.0,4001.0,2501.0,2001.0,1001.0,4001.0,5001.0,2001.0,5001.0,2001.0,,950.0,970.0,496.0
norwich,England,7501.0,5001.0,2001.0,5001.0,2001.0,5001.0,5001.0,5001.0,5001.0,7501.0,8001.0,5001.0,1001.0,5001.0,1501.0,7501.0,1001.0,5001.0,7501.0,5001.0,7501.0,7501.0,,950.0,970.0,496.0
watford,England,5001.0,5001.0,5001.0,5001.0,5001.0,5001.0,4001.0,5001.0,5001.0,8001.0,8001.0,5001.0,7501.0,7501.0,2501.0,5001.0,1001.0,7501.0,8001.0,5001.0,8001.0,4001.0,,950.0,970.0,496.0
bournemouth,England,7501.0,5001.0,2501.0,3001.0,2501.0,5001.0,7501.0,5001.0,3501.0,7501.0,10001.0,5001.0,1001.0,5001.0,2501.0,5001.0,1001.0,5001.0,7501.0,5001.0,7501.0,7501.0,,950.0,970.0,496.0
sunderland,England,5001.0,5001.0,2001.0,5001.0,2001.0,5001.0,7501.0,4001.0,5001.0,7501.0,10001.0,5001.0,3001.0,7501.0,2501.0,5001.0,1001.0,7501.0,7501.0,5001.0,7501.0,5001.0,,950.0,970.0,496.0
psg,France,1.11,1.08,1.08,1.08,1.08,1.1,1.08,1.1,1.08,1.08,1.1,1.1,1.08,,1.1,1.08,,,1.08,1.1,1.08,1.07,,1.11,,
monaco,France,12.0,12.0,12.0,12.0,12.0,10.0,11.0,12.0,11.0,8.0,11.0,11.0,11.0,,13.0,12.0,,,8.0,11.0,8.0,10.0,,9.55,,
lyon,France,15.0,11.0,13.0,13.0,13.0,17.0,15.0,12.0,13.0,11.0,13.0,15.0,17.0,,13.0,13.0,,,11.0,15.0,11.0,17.0,,11.0,,
marseille,France,51.0,34.0,41.0,34.0,41.0,34.0,34.0,41.0,34.0,46.0,51.0,34.0,51.0,,34.0,34.0,,,46.0,34.0,46.0,34.0,,28.0,,
st etienne,France,101.0,,101.0,101.0,101.0,101.0,101.0,201.0,101.0,101.0,101.0,81.0,81.0,,101.0,101.0,,,101.0,81.0,101.0,111.0,,81.0,,
bordeaux,France,151.0,,126.0,151.0,126.0,101.0,151.0,201.0,101.0,151.0,151.0,101.0,151.0,,151.0,151.0,,,151.0,151.0,151.0,161.0,,95.0,,
lille,France,201.0,,251.0,251.0,251.0,201.0,501.0,176.0,201.0,251.0,251.0,251.0,201.0,,251.0,251.0,,,251.0,201.0,251.0,501.0,,95.0,,
montpellier,France,501.0,,401.0,301.0,401.0,251.0,501.0,326.0,251.0,351.0,251.0,251.0,251.0,,251.0,251.0,,,351.0,201.0,351.0,501.0,,95.0,,
lorient,France,751.0,,501.0,501.0,501.0,501.0,751.0,501.0,501.0,501.0,751.0,501.0,751.0,,501.0,501.0,,,501.0,751.0,501.0,751.0,,95.0,,
nantes,France,401.0,,501.0,501.0,501.0,501.0,501.0,501.0,501.0,801.0,751.0,501.0,501.0,,501.0,501.0,,,801.0,401.0,801.0,501.0,,95.0,,
nice,France,501.0,,501.0,501.0,501.0,501.0,1001.0,501.0,501.0,801.0,751.0,501.0,501.0,,301.0,501.0,,,801.0,501.0,801.0,1001.0,,95.0,,
rennes,France,501.0,,301.0,301.0,301.0,301.0,1001.0,501.0,401.0,501.0,501.0,251.0,401.0,,501.0,401.0,,,501.0,501.0,501.0,1001.0,,95.0,,
toulouse,France,501.0,,751.0,751.0,751.0,751.0,1001.0,501.0,751.0,801.0,1001.0,501.0,751.0,,501.0,1001.0,,,801.0,501.0,801.0,1001.0,,95.0,,
caen,France,501.0,,751.0,751.0,751.0,1001.0,751.0,501.0,1001.0,1001.0,1251.0,751.0,751.0,,501.0,1001.0,,,1001.0,501.0,1001.0,751.0,,95.0,,
guingamp,France,1501.0,,1001.0,751.0,1001.0,751.0,1501.0,501.0,751.0,1051.0,1001.0,501.0,751.0,,1001.0,501.0,,,1051.0,1001.0,1051.0,1501.0,,95.0,,
reims,France,751.0,,1001.0,1001.0,1001.0,751.0,1001.0,751.0,1001.0,1501.0,1001.0,1001.0,1001.0,,1001.0,1001.0,,,1501.0,1001.0,1501.0,1001.0,,95.0,,
troyes,France,1501.0,,1501.0,1001.0,1501.0,1001.0,1501.0,751.0,1001.0,1601.0,1501.0,1501.0,1001.0,,1501.0,1001.0,,,1601.0,1001.0,1601.0,1501.0,,95.0,,
bastia,France,751.0,,751.0,751.0,751.0,751.0,751.0,501.0,751.0,2001.0,1001.0,501.0,1001.0,,1001.0,751.0,,,2001.0,501.0,2001.0,751.0,,95.0,,
angers,France,1001.0,,1501.0,1001.0,1501.0,1001.0,2001.0,1001.0,1501.0,1301.0,2501.0,1501.0,1501.0,,2001.0,1501.0,,,1301.0,1001.0,1301.0,,,95.0,,
gfco ajaccio,France,2001.0,,1501.0,1001.0,1501.0,1501.0,2001.0,1001.0,1501.0,2751.0,1501.0,1501.0,1501.0,,1001.0,1001.0,,,2751.0,1001.0,2751.0,,,95.0,,
juventus,Italy,1.62,1.62,1.57,1.57,1.57,1.05,1.44,1.57,1.5,1.55,1.57,1.57,1.57,1.66,1.57,1.57,1.53,1.66,1.55,1.67,1.55,1.61,,1.62,1.65,
roma,Italy,6.5,6.0,7.0,7.5,7.0,1.91,7.0,7.0,7.0,6.5,7.0,8.0,6.0,6.0,5.0,6.5,6.2,6.0,6.5,6.0,6.5,6.25,,5.37,5.56,
napoli,Italy,10.0,10.0,10.0,8.0,10.0,2.1,10.0,9.5,10.0,10.0,10.0,8.0,10.0,9.0,10.0,7.5,9.75,9.0,10.0,10.0,10.0,10.0,,9.55,10.2,
inter,Italy,13.0,11.0,13.0,15.0,13.0,2.65,13.0,12.0,10.0,12.0,15.0,17.0,11.0,13.0,15.0,13.0,12.5,13.0,12.0,13.0,12.0,12.5,,12.9,13.6,
ac milan,Italy,15.0,11.0,15.0,12.0,15.0,2.1,13.0,14.0,15.0,15.0,17.0,17.0,11.0,12.0,17.0,13.0,13.8,12.0,15.0,15.0,15.0,11.0,,15.7,16.5,
lazio,Italy,19.0,15.0,21.0,17.0,21.0,4.5,17.0,15.0,21.0,21.0,21.0,13.0,13.0,26.0,26.0,15.0,18.5,26.0,21.0,21.0,21.0,17.0,,29.0,30.0,
fiorentina,Italy,41.0,29.0,41.0,29.0,41.0,7.0,34.0,15.0,41.0,41.0,41.0,21.0,34.0,41.0,51.0,26.0,36.0,41.0,41.0,41.0,41.0,41.0,,48.0,50.0,
genoa,Italy,251.0,201.0,251.0,251.0,251.0,51.0,501.0,151.0,501.0,501.0,501.0,501.0,501.0,251.0,251.0,251.0,301.0,251.0,501.0,251.0,501.0,251.0,,285.0,970.0,
sampdoria,Italy,201.0,201.0,251.0,251.0,251.0,67.0,501.0,101.0,501.0,501.0,501.0,501.0,501.0,251.0,301.0,251.0,301.0,251.0,501.0,251.0,501.0,201.0,,285.0,970.0,
torino,Italy,501.0,201.0,501.0,501.0,501.0,67.0,501.0,101.0,501.0,501.0,501.0,251.0,501.0,501.0,251.0,501.0,401.0,501.0,501.0,501.0,501.0,501.0,,314.0,393.0,
udinese,Italy,351.0,201.0,501.0,301.0,501.0,101.0,501.0,151.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,251.0,351.0,501.0,501.0,351.0,501.0,351.0,,333.0,970.0,
palermo,Italy,501.0,501.0,501.0,501.0,501.0,101.0,501.0,401.0,1501.0,1501.0,751.0,501.0,751.0,501.0,751.0,501.0,801.0,501.0,1501.0,1001.0,1501.0,501.0,,95.0,970.0,
atalanta,Italy,1001.0,501.0,1001.0,1001.0,1001.0,151.0,1001.0,501.0,2001.0,2001.0,1501.0,1001.0,1001.0,1001.0,1001.0,1001.0,1001.0,1001.0,2001.0,1501.0,2001.0,1006.0,,95.0,970.0,
bologna,Italy,1501.0,2001.0,2001.0,1501.0,2001.0,251.0,2001.0,501.0,2001.0,2001.0,2001.0,2001.0,2001.0,2001.0,1501.0,2001.0,1001.0,2001.0,2001.0,2001.0,2001.0,1701.0,,95.0,970.0,
empoli,Italy,1001.0,501.0,1001.0,1001.0,1001.0,301.0,1001.0,501.0,1001.0,1501.0,1501.0,1001.0,1001.0,1001.0,2001.0,1501.0,1000.0,1001.0,1501.0,1001.0,1501.0,1001.0,,95.0,970.0,
sassuolo,Italy,751.0,751.0,1001.0,1001.0,1001.0,751.0,1001.0,501.0,2001.0,2001.0,1501.0,2001.0,751.0,1001.0,751.0,1001.0,1001.0,1001.0,2001.0,1501.0,2001.0,751.0,,95.0,970.0,
verona,Italy,1001.0,751.0,1001.0,1001.0,1001.0,151.0,1001.0,401.0,2001.0,2001.0,1501.0,1001.0,751.0,751.0,501.0,751.0,901.0,751.0,2001.0,1001.0,2001.0,1001.0,,95.0,970.0,
chievo,Italy,2001.0,1501.0,2001.0,2001.0,2001.0,501.0,2501.0,501.0,2501.0,2501.0,2501.0,2001.0,2501.0,2001.0,1001.0,2001.0,1001.0,2001.0,2501.0,1001.0,2501.0,2101.0,,95.0,970.0,
frosinone,Italy,5001.0,2001.0,5001.0,2501.0,5001.0,1001.0,5001.0,501.0,5001.0,5001.0,5001.0,2001.0,5001.0,5001.0,5001.0,5001.0,1001.0,5001.0,5001.0,3001.0,5001.0,5001.0,,95.0,970.0,
carpi fc,Italy,5001.0,2001.0,5001.0,2501.0,5001.0,601.0,5001.0,501.0,5001.0,5001.0,5001.0,2001.0,5001.0,5001.0,2501.0,5001.0,1001.0,5001.0,5001.0,3001.0,5001.0,5001.0,,143.0,970.0,
celtic,Scotland,1.04,1.03,1.03,1.03,1.03,1.03,,1.03,1.02,1.03,1.02,1.03,1.03,1.03,1.02,1.03,,1.03,1.03,1.04,1.03,1.04,,1.08,,
aberdeen,Scotland,17.0,21.0,21.0,21.0,21.0,21.0,,21.0,21.0,21.0,23.0,26.0,21.0,21.0,21.0,23.0,,21.0,21.0,19.0,21.0,17.0,,18.1,,
hearts,Scotland,29.0,26.0,26.0,26.0,26.0,26.0,,26.0,26.0,26.0,26.0,26.0,26.0,21.0,26.0,26.0,,21.0,26.0,34.0,26.0,29.0,,15.3,,
dundee utd,Scotland,251.0,251.0,151.0,251.0,151.0,151.0,,251.0,151.0,201.0,301.0,301.0,201.0,201.0,151.0,201.0,,201.0,201.0,151.0,201.0,251.0,,95.0,,
inverness,Scotland,401.0,251.0,251.0,401.0,251.0,251.0,,401.0,151.0,301.0,401.0,301.0,251.0,301.0,251.0,301.0,,301.0,301.0,201.0,301.0,301.0,,95.0,,
dundee,Scotland,251.0,151.0,501.0,251.0,501.0,301.0,,251.0,251.0,301.0,401.0,401.0,251.0,401.0,251.0,401.0,,401.0,301.0,251.0,301.0,401.0,,95.0,,
st johnstone,Scotland,401.0,251.0,301.0,401.0,301.0,301.0,,326.0,251.0,301.0,501.0,401.0,301.0,301.0,251.0,401.0,,301.0,301.0,251.0,301.0,401.0,,95.0,,
partick,Scotland,1001.0,751.0,501.0,1001.0,501.0,751.0,,501.0,501.0,751.0,1001.0,751.0,751.0,751.0,751.0,751.0,,751.0,751.0,751.0,751.0,761.0,,95.0,,
motherwell,Scotland,1001.0,1001.0,1001.0,1001.0,1001.0,751.0,,376.0,501.0,1001.0,1001.0,1501.0,1001.0,1001.0,251.0,1001.0,,1001.0,1001.0,251.0,1001.0,1001.0,,95.0,,
hamilton,Scotland,1501.0,1001.0,1501.0,1001.0,1501.0,1001.0,,501.0,501.0,751.0,2001.0,1501.0,1001.0,1501.0,1001.0,1001.0,,1501.0,751.0,1001.0,751.0,761.0,,95.0,,
ross county,Scotland,1501.0,2001.0,751.0,1501.0,751.0,1001.0,,476.0,501.0,1001.0,1001.0,751.0,751.0,1001.0,751.0,1001.0,,1001.0,1001.0,1001.0,1001.0,1001.0,,95.0,,
kilmarnock,Scotland,2501.0,2001.0,1001.0,2001.0,1001.0,2501.0,,501.0,501.0,2001.0,2501.0,1501.0,1251.0,2001.0,1001.0,1501.0,,2001.0,2001.0,1001.0,2001.0,2501.0,,95.0,,
ajax,Holland,2.5,2.38,2.38,2.38,2.38,2.35,2.38,2.4,,2.4,,,,,2.37,2.38,,,2.4,2.4,2.4,2.25,,2.33,,
psv,Holland,2.5,2.38,2.38,2.4,2.38,2.38,2.38,2.4,,2.3,,,,,2.37,2.38,,,2.3,2.6,2.3,2.15,,2.29,,
feyenoord,Holland,6.5,5.5,5.0,5.0,5.0,6.0,5.0,5.0,,6.0,,,,,5.0,5.5,,,6.0,6.5,6.0,6.25,,5.46,,
vitesse,Holland,26.0,26.0,26.0,26.0,26.0,26.0,21.0,26.0,,26.0,,,,,21.0,26.0,,,26.0,26.0,26.0,27.0,,20.0,,
az alkmaar,Holland,21.0,41.0,51.0,51.0,51.0,34.0,51.0,26.0,,51.0,,,,,51.0,51.0,,,51.0,21.0,51.0,52.0,,42.0,,
heerenveen,Holland,81.0,81.0,81.0,81.0,81.0,67.0,81.0,91.0,,71.0,,,,,67.0,81.0,,,71.0,101.0,71.0,73.0,,48.0,,
twente,Holland,51.0,51.0,67.0,67.0,67.0,67.0,67.0,41.0,,71.0,,,,,101.0,67.0,,,71.0,51.0,71.0,52.0,,81.0,,
groningen,Holland,151.0,201.0,201.0,201.0,201.0,151.0,201.0,201.0,,201.0,,,,,151.0,201.0,,,201.0,151.0,201.0,201.0,,95.0,,
zwolle,Holland,151.0,201.0,201.0,201.0,201.0,151.0,101.0,201.0,,201.0,,,,,201.0,201.0,,,201.0,151.0,201.0,201.0,,95.0,,
utrecht,Holland,151.0,301.0,251.0,251.0,251.0,201.0,501.0,276.0,,251.0,,,,,251.0,251.0,,,251.0,201.0,251.0,251.0,,95.0,,
willem ii,Holland,251.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,,501.0,,,,,501.0,501.0,,,501.0,301.0,501.0,501.0,,95.0,,
nec nijmegen,Holland,401.0,501.0,501.0,501.0,501.0,501.0,501.0,251.0,,751.0,,,,,251.0,501.0,,,751.0,201.0,751.0,751.0,,95.0,,
cambuur,Holland,1001.0,1001.0,1001.0,1001.0,1001.0,1001.0,1001.0,501.0,,501.0,,,,,501.0,1001.0,,,501.0,301.0,501.0,501.0,,285.0,,
den haag,Holland,1001.0,1001.0,501.0,1001.0,501.0,1001.0,751.0,501.0,,751.0,,,,,751.0,1001.0,,,751.0,501.0,751.0,751.0,,285.0,,
heracles,Holland,1501.0,1501.0,1001.0,1001.0,1001.0,1001.0,1001.0,501.0,,751.0,,,,,1501.0,1001.0,,,751.0,501.0,751.0,751.0,,285.0,,
roda,Holland,751.0,751.0,1001.0,1001.0,1001.0,1001.0,1501.0,501.0,,801.0,,,,,751.0,1001.0,,,801.0,501.0,801.0,801.0,,285.0,,
sbv excelsior,Holland,1501.0,1001.0,1001.0,1001.0,1001.0,1001.0,1001.0,501.0,,901.0,,,,,1001.0,1001.0,,,901.0,501.0,901.0,1001.0,,285.0,,
de graafschap,Holland,2001.0,1501.0,1001.0,1001.0,1001.0,1001.0,1501.0,501.0,,901.0,,,,,751.0,1001.0,,,901.0,501.0,901.0,1001.0,,285.0,,
porto,Portugal,2.1,2.1,2.0,2.1,2.0,2.1,2.1,2.1,2.1,2.25,,,,2.0,2.1,2.1,,2.0,2.25,2.1,2.25,,,1.99,,
