name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,Betfair,Betdaq,Matchbook
bayern munich,Germany,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,1.0,1.0,,,,,,,1.01,
vfl wolfsburg,Germany,101.0,29.0,29.0,,29.0,29.0,26.0,31.0,41.0,,,,34.0,34.0,,26.0,34.0,,34.0,,,,,45.0,
schalke 04,Germany,,,,,,,151.0,201.0,,,,,,,,,,,,,,,,,
bor monchengladbach,Germany,,,501.0,,501.0,201.0,201.0,201.0,,,,,,,,,,,,,,,,161.0,
bayer leverkusen,Germany,,,501.0,,501.0,201.0,251.0,201.0,,,,,,,,,,,,,,,,970.0,
bor dortmund,Germany,,,,,,,501.0,501.0,,,,,,,,,,,,,,,,,
hannover 96,Germany,,,,,,,501.0,501.0,,,,,,,,,,,,,,,,,
mainz 05,Germany,,,,,,,401.0,501.0,,,,,,,,,,,,,,,,,
hoffenheim,Germany,,,,,,,751.0,501.0,,,,,,,,,,,,,,,,,
eintracht frankfurt,Germany,,,,,,,1001.0,501.0,,,,,,,,,,,,,,,,,
fc koln,Germany,,,,,,,1001.0,501.0,,,,,,,,,,,,,,,,,
vfb stuttgart,Germany,,,,,,,1001.0,501.0,,,,,,,,,,,,,,,,,
hertha berlin,Germany,,,,,,,1501.0,501.0,,,,,,,,,,,,,,,,,
augsburg,Germany,,,,,,,2001.0,501.0,,,,,,,,,,,,,,,,,
freiburg,Germany,,,,,,,2001.0,501.0,,,,,,,,,,,,,,,,,
werder bremen,Germany,,,,,,,2001.0,501.0,,,,,,,,,,,,,,,,,
hamburg,Germany,,,,,,,2501.0,501.0,,,,,,,,,,,,,,,,,
paderborn,Germany,,,,,,,2501.0,501.0,,,,,,,,,,,,,,,,,
