name,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betfair Sportsbook,Betway,Bwin,Unibet,You Win,32Red Bet,Betfair,Betdaq,Matchbook
Brazil,a,1.05,1.04,,1.05,1.03,1.01,1.04,1.03,1.02,,1.02,1.02,,1.02,1.02,1.05,1.03,1.02,1.03,1.03,,1.03,,
Mexico,a,2.2,2.1,,1.91,2.1,1.91,1.91,2.1,2.1,,2.1,2.2,,1.95,2.0,2.05,2.0,2.2,2.0,2.0,,2.06,1.91,
Croatia,a,1.83,2.25,,1.91,2.0,1.91,2.25,2.1,2.1,,2.3,2.1,,2.1,2.25,2.05,2.0,2.1,2.0,2.2,,2.16,1.97,
Cameroon,a,6.5,4.5,,6.0,6.0,6.0,6.5,5.5,5.5,,4.33,5.0,,6.0,5.0,5.0,5.5,4.75,5.0,6.0,,5.09,3.86,
Spain,b,1.22,1.14,,1.17,1.14,1.08,1.14,1.17,1.13,,1.17,1.12,,1.14,1.2,1.16,1.12,1.15,1.11,1.22,,1.12,1.06,
Netherlands,b,1.53,1.62,,1.53,1.53,1.33,1.5,1.44,1.5,,1.5,1.5,,1.5,1.62,1.5,1.55,1.5,1.52,1.53,1.33,1.62,1.45,
Chile,b,2.0,2.1,,2.0,2.1,2.1,2.2,2.1,2.1,,2.1,2.1,,2.05,1.83,2.0,1.95,1.9,2.0,2.0,1.95,1.99,1.95,
Australia,b,8.0,7.0,,6.5,9.0,21.0,13.0,8.5,9.0,,10.0,11.0,,9.0,9.0,8.0,10.0,18.0,10.0,8.0,6.6,8.03,6.82,
Colombia,c,1.25,1.3,,1.25,1.25,1.22,1.29,1.3,1.29,,1.29,1.25,,1.2,1.22,1.33,1.25,1.25,1.2,1.25,,1.31,1.21,
Ivory Coast,c,1.91,1.91,,1.8,1.91,1.9,1.83,1.91,1.91,,1.91,2.0,,1.9,2.0,1.9,1.95,1.95,1.95,1.91,,1.83,1.76,
Japan,c,2.0,2.0,,2.0,2.2,2.25,2.2,2.2,2.0,,2.25,2.0,,2.2,2.1,1.83,1.95,1.95,2.15,2.1,1.86,1.97,1.85,
Greece,c,3.25,3.0,,3.4,3.0,3.25,3.25,2.75,3.4,,2.75,3.1,,3.0,2.75,3.5,3.25,3.4,2.75,3.25,,3.33,2.9,
Italy,d,1.44,1.4,,1.36,1.5,1.36,1.5,1.44,1.44,,1.4,1.44,,1.36,1.44,1.44,1.4,1.4,1.35,1.4,1.29,1.42,1.35,
Uruguay,d,1.4,1.53,,1.36,1.5,1.4,1.5,1.5,1.4,,1.5,1.5,,1.45,1.44,1.5,1.5,1.42,1.5,1.5,1.34,1.48,1.4,
England,d,1.62,1.62,,1.62,1.62,1.57,1.67,1.57,1.67,,1.67,1.53,,1.62,1.67,1.57,1.6,1.6,1.62,1.67,1.79,1.75,1.79,
Costa Rica,d,11.0,8.0,,11.0,6.0,9.0,8.0,11.0,11.0,,7.5,9.0,,12.0,9.0,8.0,8.0,13.0,6.0,9.0,5.3,8.98,7.21,
France,e,1.2,1.2,,1.17,1.2,1.15,1.2,1.17,1.2,,1.2,1.2,,1.2,1.18,1.16,1.2,1.16,1.16,1.2,,1.25,1.16,
Switzerland,e,1.67,1.8,,1.62,1.62,1.5,1.73,1.57,1.62,,1.57,1.57,,1.62,1.67,1.57,1.6,1.65,1.7,1.63,,1.69,1.47,
