name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,10Bet,Marathon Bet,Betfair,Betdaq,Matchbook
real madrid,a,,1.02,1.04,1.02,1.04,1.02,1.04,,1.03,1.04,1.01,,1.02,1.04,1.04,1.03,,1.04,1.04,1.02,1.04,,,,,
psg,a,,9.0,11.0,11.0,11.0,10.0,11.0,,11.0,10.0,15.0,,11.0,11.0,11.0,8.0,,11.0,10.0,12.0,10.0,,,,,
malmo ff,a,,,,,,,,,,,,,,,,,,,,201.0,,,,,,
shakhtar donetsk,a,,,,,,,,,,,,,,,,,,,,501.0,,,,,,
man utd,b,1.53,1.53,1.5,1.5,1.5,1.5,1.53,1.4,1.5,1.52,1.53,,1.57,1.53,1.57,1.53,,1.53,1.52,1.5,1.52,,,,1.49,
wolfsburg,b,3.75,4.0,4.0,4.0,4.0,3.75,3.75,4.2,4.0,3.75,4.0,,4.0,3.75,3.75,4.0,,3.75,3.75,4.0,3.75,,,,3.38,
psv,b,8.0,6.5,7.0,7.5,7.0,7.0,7.0,8.5,7.0,8.0,7.0,,7.0,7.0,8.0,8.0,,7.0,8.0,7.5,8.0,,,,6.63,
cska moscow,b,15.0,26.0,21.0,21.0,21.0,23.0,21.0,26.0,15.0,16.0,21.0,,21.0,21.0,17.0,15.0,,21.0,16.0,21.0,16.0,,,,13.6,
benfica,c,1.25,1.33,,1.3,1.36,1.35,1.36,1.36,1.33,1.3,1.4,,1.29,1.36,1.33,1.33,,1.36,1.3,1.4,1.3,,,,,
atletico madrid,c,4.0,3.25,,3.25,3.0,2.65,3.0,3.0,3.25,3.5,2.7,,3.5,3.0,3.25,3.0,,3.0,3.5,2.75,3.5,,,,2.59,
galatasaray,c,251.0,101.0,,101.0,151.0,151.0,151.0,176.0,101.0,151.0,151.0,,251.0,151.0,151.0,101.0,,151.0,151.0,201.0,151.0,,,,,
man city,d,1.53,1.5,1.5,1.5,1.5,1.44,1.44,1.36,1.5,1.52,1.44,,1.5,1.53,1.53,1.5,,1.53,1.52,1.45,1.52,,,,,
juventus,d,2.5,2.5,2.5,2.5,2.5,2.4,2.62,3.0,2.5,2.5,2.62,,2.5,2.5,2.5,2.38,,2.5,2.5,2.6,2.5,,,,,
sevilla,d,1001.0,,501.0,501.0,501.0,501.0,,501.0,501.0,501.0,,,501.0,,501.0,501.0,,,501.0,,501.0,,,,,
barcelona,e,1.01,1.01,,,,1.0,1.01,1.0,,,1.02,1.0,,1.01,1.01,,,1.01,,,,,,,,
roma,e,26.0,21.0,,,,15.0,17.0,26.0,,,12.0,21.0,,17.0,21.0,,,17.0,,,,,,,,
bayer leverkusen,e,81.0,81.0,,,,51.0,67.0,151.0,,,151.0,101.0,,81.0,41.0,,,81.0,,,,,,,,
bayern munich,f,1.02,1.02,,,,1.01,1.02,1.01,,,1.02,1.03,1.02,1.02,1.02,,,1.02,,,,,,,,
olympiakos,f,13.0,13.0,,,,13.0,13.0,15.0,,,12.0,10.0,13.0,12.0,13.0,,,12.0,,,,,,,,
porto,g,1.29,1.44,,,,1.25,1.29,1.29,,,1.44,1.36,1.25,1.33,1.25,,,1.33,,,,,,,,
chelsea,g,3.25,2.75,,,,3.2,3.5,3.5,,,2.7,3.25,3.75,3.25,4.0,,,3.25,,,,,,,,
dynamo kiev,g,151.0,51.0,,,,101.0,101.0,51.0,,,26.0,41.0,67.0,101.0,251.0,,,101.0,,,,,,,,
zenit,h,1.01,1.01,,,,1.0,1.01,1.01,,,1.01,1.0,1.01,1.01,1.01,,,1.01,,,,,,,,
valencia,h,13.0,13.0,,,,13.0,17.0,13.0,,,15.0,21.0,17.0,17.0,13.0,,,17.0,,,,,,,,
