name,group,max,min,mean,median,twentyfive,seventyfive
Man Utd,a,1.67,1.5,1.5750000000000002,1.5700000000000001,1.5475000000000001,1.6000000000000001
Shakhtar Donetsk,a,4.0,3.04,3.7785000000000002,3.75,3.75,4.0
Bayer Leverkusen,a,6.0,4.32,5.5810000000000004,5.75,5.375,6.0
Real Sociedad,a,67.0,23.0,38.299999999999997,34.0,34.0,40.5
Real Madrid,b,1.1,1.0,1.0705,1.0800000000000001,1.0674999999999999,1.0800000000000001
Juventus,b,11.0,1.0,7.3014999999999999,7.0,7.0,8.0
Galatasaray,b,34.0,18.6,29.530000000000001,29.5,26.0,34.0
FC Copenhagen,b,301.0,101.0,222.30000000000001,251.0,151.0,263.25
PSG,c,1.19,1.04,1.119,1.125,1.1000000000000001,1.1324999999999998
Benfica,c,7.5,5.46,6.3699999999999992,6.0,6.0,6.625
Olympiakos,c,29.0,11.0,22.25,23.5,19.75,26.0
Anderlecht,c,251.0,67.0,174.44999999999999,159.0,151.0,201.0
Bayern Munich,d,1.12,1.05,1.0879999999999999,1.0800000000000001,1.0800000000000001,1.1025
Man City,d,10.0,1.0,7.2750000000000004,7.5,7.0,8.0
CSKA Moscow,d,29.0,15.0,21.855,22.0,18.774999999999999,25.0
Plzen,d,751.0,201.0,377.05000000000001,337.5,251.0,501.0
Chelsea,e,1.72,1.5,1.6265000000000005,1.6200000000000001,1.6000000000000001,1.6699999999999999
Schalke 04,e,2.75,2.25,2.4029999999999996,2.3899999999999997,2.3525,2.4399999999999999
Basel,e,21.0,9.0,16.265000000000001,17.0,13.975000000000001,19.0
Steaua Bucharest,e,251.0,101.0,198.75,201.0,151.0,251.0
Arsenal,f,1.85,1.63,1.7184999999999999,1.7149999999999999,1.6699999999999999,1.75
Bor Dortmund,f,2.88,2.59,2.7464999999999997,2.75,2.71,2.7999999999999998
Napoli,f,7.65,5.5,6.6139999999999999,6.5,6.4074999999999998,7.0
Marseille,f,126.0,43.0,98.5,101.0,100.0,101.0
Atletico Madrid,g,1.2,1.03,1.1464999999999999,1.1549999999999998,1.1399999999999999,1.1699999999999999
Porto,g,7.0,1.4,5.556,6.0,5.5,6.0
Zenit St Petersburg,g,17.0,2.5,14.165000000000001,15.0,14.0,15.0
Austria Vienna,g,301.0,1.0,169.40000000000001,201.0,101.0,213.5
Barcelona,h,1.05,1.0,1.032,1.03,1.0274999999999999,1.04
AC Milan,h,10.0,1.06,8.6404999999999994,9.0,8.9000000000000004,9.25
Ajax,h,151.0,8.0,89.950000000000003,98.0,75.0,101.0
Celtic,h,501.0,26.0,235.40000000000001,251.0,200.75,251.0
