name,group,max,min,mean,median,twentyfive,seventyfive
Brazil,a,1.28,1.15,1.2250000000000001,1.2250000000000001,1.2,1.25
Croatia,a,10.0,6.5,8.3974999999999991,8.25,7.7549999999999999,9.0
Mexico,a,10.0,6.6,8.4224999999999994,8.75,7.96,9.0
Cameroon,a,34.0,15.0,23.494999999999997,26.0,18.975000000000001,26.0
Spain,b,1.83,1.62,1.7329999999999999,1.73,1.6949999999999998,1.8
Netherlands,b,4.0,2.98,3.2999999999999998,3.25,3.1600000000000001,3.3999999999999999
Chile,b,6.0,4.5,5.2840000000000007,5.2349999999999994,5.0,5.5
Australia,b,101.0,25.0,41.75,34.0,26.0,50.0
Colombia,c,1.83,1.53,1.6575,1.6699999999999999,1.6150000000000002,1.7075
Ivory Coast,c,5.56,4.33,5.0030000000000001,5.0,4.875,5.2524999999999995
Japan,c,6.0,3.9,5.5164999999999997,6.0,5.0,6.0
Greece,c,11.0,6.2,8.4659999999999993,8.25,7.5,9.1374999999999993
Italy,d,2.75,2.25,2.5535000000000001,2.5750000000000002,2.5,2.6225000000000001
Uruguay,d,3.2,2.55,2.7930000000000001,2.7749999999999999,2.7250000000000001,2.8574999999999999
England,d,3.5,3.0,3.1585000000000001,3.1000000000000001,3.0,3.25
Costa Rica,d,81.0,14.5,39.780000000000001,34.5,26.0,51.0
France,e,1.91,1.65,1.7405000000000002,1.7349999999999999,1.6699999999999999,1.8
Switzerland,e,4.04,3.25,3.7024999999999997,3.75,3.7124999999999999,3.75
Ecuador,e,5.5,3.7,4.8205,5.0,4.5,5.125
Honduras,e,34.0,16.0,23.475000000000001,22.0,17.875,25.25
Argentina,f,1.29,1.13,1.2155,1.22,1.1924999999999999,1.25
Bosnia-Herzegovina,f,9.0,5.3,7.1575000000000006,7.0,6.375,8.0
Nigeria,f,12.0,6.5,9.2669999999999995,9.0850000000000009,8.2774999999999999,10.0
Iran,f,81.0,16.5,33.424999999999997,29.5,26.0,34.0
Germany,g,1.62,1.37,1.5329999999999999,1.54,1.5,1.5550000000000002
Portugal,g,4.0,2.98,3.6515,3.75,3.6875,3.75
USA,g,13.0,5.6,11.1645,11.5,10.75,12.925000000000001
Ghana,g,17.0,8.0,11.376999999999999,11.0,10.0,12.25
Belgium,h,1.73,1.4,1.605,1.6000000000000001,1.5700000000000001,1.6699999999999999
Russia,h,3.61,2.75,3.0940000000000003,3.0,3.0,3.25
South Korea,h,11.4,6.2,9.0289999999999999,9.0,8.875,10.0
Algeria,h,41.0,15.0,25.600000000000001,25.5,22.75,26.75
