name,group,max,min,mean,median
psg,a,1.01,1.0,1.0066666666666666,1.01
shakhtar donetsk,a,151.0,21.0,68.86666666666666,67.0
malmo ff,a,201.0,51.0,142.59999999999999,151.0
man utd,b,1.14,1.1,1.1241176470588234,1.1200000000000001
wolfsburg,b,1.8,1.57,1.6517647058823528,1.6699999999999999
psv,b,2.75,2.25,2.5341176470588236,2.5
cska moscow,b,4.5,3.75,4.1858823529411762,4.0
benfica,c,1.02,1.0,1.008,1.01
atletico madrid,c,1.05,1.0,1.0349999999999999,1.04
galatasaray,c,11.0,6.5,8.3599999999999994,8.0
fc astana,c,1001.0,9.55,473.92749999999995,501.0
juventus,d,1.04,1.01,1.02,1.02
sevilla,d,21.0,10.0,14.323809523809524,13.0
barcelona,e,1.0,1.0,1.0,1.0
roma,e,1.36,1.25,1.2895238095238095,1.29
bayer leverkusen,e,4.33,3.75,3.8771428571428572,3.75
bate borisov,e,17.0,9.0,14.871428571428572,15.0
bayern munich,f,1.01,1.0,1.0033333333333332,1.0
olympiakos,f,1.25,1.14,1.1966666666666665,1.2
arsenal,f,5.0,3.75,4.3414285714285716,4.3300000000000001
din zagreb,f,101.0,24.0,59.0,67.0
porto,g,1.05,1.01,1.0153333333333334,1.01
chelsea,g,1.17,1.06,1.1161904761904762,1.1100000000000001
dynamo kiev,g,6.0,3.38,5.2680952380952375,5.5
porto,h,1.01,1.01,1.01,1.01
valencia,h,1.2,1.04,1.0738095238095238,1.05
gent,h,10.0,6.5,8.605714285714285,9.0
bate borisov,h,15.0,15.0,15.0,15.0
lyon,h,34.0,9.0,24.50238095238095,26.0
shakhtar donetsk,h,34.0,34.0,34.0,34.0
