name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,10Bet,Marathon Bet,Betfair,Betdaq,Matchbook
sevilla,d,3.75,3.5,3.5,3.6,3.5,3.25,3.5,3.5,3.25,3.5,3.75,3.25,3.25,,3.25,3.5,,,3.5,3.6,3.5,,,3.04,,
monchengladbach,d,15.0,15.0,17.0,17.0,17.0,15.0,17.0,17.0,9.0,16.0,15.0,17.0,7.0,,11.0,17.0,,,16.0,17.0,16.0,,,9.55,,
barcelona,e,1.0,1.0,1.0,,,1.01,1.0,1.0,1.0,,1.0,,,,1.01,,,,,,,,,,,
bayer leverkusen,e,1.57,1.73,1.62,1.62,,1.53,1.5,1.62,1.73,1.6,1.75,1.5,1.73,1.62,1.57,1.55,,1.62,1.6,1.55,1.6,,,1.57,,
roma,e,2.5,2.38,2.5,2.38,,2.6,2.38,2.4,2.2,2.4,2.15,2.5,2.2,2.38,2.5,2.38,,2.38,2.4,2.45,2.4,,,2.39,,
bate borisov,e,21.0,10.0,11.0,13.0,,11.0,13.0,10.0,13.0,16.0,15.0,12.0,12.0,13.0,13.0,13.0,,13.0,16.0,17.0,16.0,,,12.9,,
bayern munich,f,1.0,1.02,,1.01,,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.03,1.01,1.01,,,1.01,1.01,,1.01,,,1.01,,
olympiakos,f,1.53,1.5,1.5,1.5,1.5,1.44,1.44,1.5,1.53,1.55,1.57,1.57,1.57,1.53,1.53,1.5,,1.53,1.55,1.5,1.55,,,1.48,,
arsenal,f,2.5,2.62,2.5,2.62,2.5,2.75,2.75,2.5,2.5,2.55,2.38,2.38,2.25,2.5,2.5,2.5,,2.5,2.55,2.55,2.55,,,2.48,,
din zagreb,f,26.0,15.0,21.0,15.0,21.0,15.0,15.0,23.0,21.0,15.0,21.0,12.0,13.0,17.0,19.0,15.0,,17.0,15.0,19.0,15.0,,,16.7,,
porto,g,1.1,1.08,1.08,1.07,1.08,1.08,1.07,1.06,1.1,1.08,1.09,1.1,1.1,1.07,1.07,1.07,,1.07,1.08,1.07,1.08,,,1.05,,
chelsea,g,1.22,1.22,1.22,1.2,1.22,1.2,1.2,1.29,1.2,1.2,1.29,1.2,1.2,1.22,1.25,1.2,,1.22,1.2,1.2,1.2,,,1.23,,
dynamo kiev,g,2.88,2.75,2.75,2.75,2.75,2.8,2.75,2.5,2.75,2.75,2.6,2.75,2.75,2.75,2.75,2.75,,2.75,2.75,2.85,2.75,,,1.95,,
maccabi tel aviv,g,151.0,34.0,67.0,67.0,67.0,101.0,101.0,176.0,81.0,101.0,101.0,101.0,34.0,51.0,41.0,41.0,,51.0,101.0,101.0,101.0,,,32.0,,
zenit,h,1.0,,,,,,1.0,,1.0,,1.0,,,1.01,,,,1.01,,,,,,,,
valencia,h,1.1,1.1,1.1,1.08,1.1,1.1,1.1,1.1,1.1,1.1,1.09,1.08,1.1,1.1,1.1,1.1,,1.1,1.1,1.1,1.1,,,1.01,,
porto,h,,,,,,,,,1.1,,,,,,,,,,,,,,,,,
lyon,h,9.0,6.5,7.0,7.5,7.0,6.5,7.0,7.5,7.0,7.0,8.5,8.0,7.0,6.5,7.0,6.5,,6.5,7.0,7.0,7.0,,,5.75,,
bate borisov,h,,,,,,,,,13.0,,,,,,,,,,,,,,,,,
gent,h,23.0,15.0,15.0,17.0,15.0,17.0,17.0,23.0,21.0,16.0,21.0,17.0,13.0,15.0,17.0,15.0,,15.0,16.0,17.0,16.0,,,7.65,,
shakhtar donetsk,h,,,,,,,,,26.0,,,,,,,,,,,,,,,,,
